row,Public,Contacted,Report_Credibility,Cardinality,Engagement,Utility,Public_Safety_Impact,Priority
1,no,yes,no,one,active,laborious,minimal,decline
2,no,yes,no,one,active,laborious,significant,decline
3,no,yes,no,one,active,efficient,minimal,decline
4,no,yes,no,one,active,efficient,significant,track
5,no,yes,no,one,active,super effective,minimal,decline
6,no,yes,no,one,active,super effective,significant,track
7,no,yes,no,one,unresponsive,laborious,minimal,decline
8,no,yes,no,one,unresponsive,laborious,significant,decline
9,no,yes,no,one,unresponsive,efficient,minimal,decline
10,no,yes,no,one,unresponsive,efficient,significant,track
11,no,yes,no,one,unresponsive,super effective,minimal,decline
12,no,yes,no,one,unresponsive,super effective,significant,track
13,no,yes,no,multiple,active,laborious,minimal,decline
14,no,yes,no,multiple,active,laborious,significant,track
15,no,yes,no,multiple,active,efficient,minimal,decline
16,no,yes,no,multiple,active,efficient,significant,track
17,no,yes,no,multiple,active,super effective,minimal,track
18,no,yes,no,multiple,active,super effective,significant,coordinate
19,no,yes,no,multiple,unresponsive,laborious,minimal,decline
20,no,yes,no,multiple,unresponsive,laborious,significant,track
21,no,yes,no,multiple,unresponsive,efficient,minimal,decline
22,no,yes,no,multiple,unresponsive,efficient,significant,track
23,no,yes,no,multiple,unresponsive,super effective,minimal,track
24,no,yes,no,multiple,unresponsive,super effective,significant,coordinate
25,no,yes,yes,one,active,laborious,minimal,decline
26,no,yes,yes,one,active,laborious,significant,decline
27,no,yes,yes,one,active,efficient,minimal,decline
28,no,yes,yes,one,active,efficient,significant,track
29,no,yes,yes,one,active,super effective,minimal,decline
30,no,yes,yes,one,active,super effective,significant,track
31,no,yes,yes,one,unresponsive,laborious,minimal,track
32,no,yes,yes,one,unresponsive,laborious,significant,coordinate
33,no,yes,yes,one,unresponsive,efficient,minimal,coordinate
34,no,yes,yes,one,unresponsive,efficient,significant,coordinate
35,no,yes,yes,one,unresponsive,super effective,minimal,coordinate
36,no,yes,yes,one,unresponsive,super effective,significant,coordinate
37,no,yes,yes,multiple,active,laborious,minimal,decline
38,no,yes,yes,multiple,active,laborious,significant,track
39,no,yes,yes,multiple,active,efficient,minimal,decline
40,no,yes,yes,multiple,active,efficient,significant,track
41,no,yes,yes,multiple,active,super effective,minimal,coordinate
42,no,yes,yes,multiple,active,super effective,significant,coordinate
43,no,yes,yes,multiple,unresponsive,laborious,minimal,coordinate
44,no,yes,yes,multiple,unresponsive,laborious,significant,coordinate
45,no,yes,yes,multiple,unresponsive,efficient,minimal,coordinate
46,no,yes,yes,multiple,unresponsive,efficient,significant,coordinate
47,no,yes,yes,multiple,unresponsive,super effective,minimal,coordinate
48,no,yes,yes,multiple,unresponsive,super effective,significant,coordinate
49,yes,yes,no,multiple,active,super effective,significant,coordinate
50,yes,yes,no,multiple,unresponsive,super effective,significant,coordinate
51,yes,yes,yes,multiple,active,super effective,significant,coordinate
52,yes,yes,yes,multiple,unresponsive,super effective,significant,coordinate
53,yes,no,no,multiple,active,super effective,significant,coordinate
54,yes,no,no,multiple,unresponsive,super effective,significant,coordinate
55,yes,no,yes,multiple,active,super effective,significant,coordinate
56,yes,no,yes,multiple,unresponsive,super effective,significant,coordinate
57,yes,yes,no,one,active,laborious,minimal,decline
58,yes,yes,no,one,active,efficient,minimal,decline
59,yes,yes,no,one,unresponsive,laborious,minimal,decline
60,yes,yes,no,one,unresponsive,efficient,minimal,decline
61,yes,yes,yes,one,active,laborious,minimal,decline
62,yes,yes,yes,one,active,efficient,minimal,decline
63,yes,yes,yes,one,unresponsive,laborious,minimal,decline
64,yes,yes,yes,one,unresponsive,efficient,minimal,decline
65,yes,no,no,one,active,laborious,minimal,decline
66,yes,no,no,one,active,efficient,minimal,decline
67,yes,no,no,one,unresponsive,laborious,minimal,decline
68,yes,no,no,one,unresponsive,efficient,minimal,decline
69,yes,no,yes,one,active,laborious,minimal,decline
70,yes,no,yes,one,active,efficient,minimal,decline
71,yes,no,yes,one,unresponsive,laborious,minimal,decline
72,yes,no,yes,one,unresponsive,efficient,minimal,decline
73,no,no,no,multiple,active,super effective,significant,coordinate
74,no,no,no,multiple,unresponsive,super effective,significant,coordinate
75,no,no,yes,multiple,active,super effective,significant,coordinate
76,no,no,yes,multiple,unresponsive,super effective,significant,coordinate
77,no,no,no,one,active,laborious,minimal,decline
78,no,no,no,one,active,efficient,minimal,decline
79,no,no,no,one,unresponsive,laborious,minimal,decline
80,no,no,no,one,unresponsive,efficient,minimal,decline
81,no,no,yes,one,active,laborious,minimal,decline
82,no,no,yes,one,active,efficient,minimal,decline
83,no,no,yes,one,unresponsive,laborious,minimal,decline
84,no,no,yes,one,unresponsive,efficient,minimal,decline
