Exploitation,Exposure,Utility,Well-being and Mission Impact,Priority(TODO)
none,small,laborious,low,
none,small,laborious,medium,
none,small,laborious,high,
none,small,laborious,very high,
none,small,effecient,low,
none,small,effecient,medium,
none,small,effecient,high,
none,small,effecient,very high,
none,small,super effective,low,
none,small,super effective,medium,
none,small,super effective,high,
none,small,super effective,very high,
none,controlled,laborious,low,
none,controlled,laborious,medium,
none,controlled,laborious,high,
none,controlled,laborious,very high,
none,controlled,effecient,low,
none,controlled,effecient,medium,
none,controlled,effecient,high,
none,controlled,effecient,very high,
none,controlled,super effective,low,
none,controlled,super effective,medium,
none,controlled,super effective,high,
none,controlled,super effective,very high,
none,open,laborious,low,
none,open,laborious,medium,
none,open,laborious,high,
none,open,laborious,very high,
none,open,effecient,low,
none,open,effecient,medium,
none,open,effecient,high,
none,open,effecient,very high,
none,open,super effective,low,
none,open,super effective,medium,
none,open,super effective,high,
none,open,super effective,very high,
PoC,small,laborious,low,
PoC,small,laborious,medium,
PoC,small,laborious,high,
PoC,small,laborious,very high,
PoC,small,effecient,low,
PoC,small,effecient,medium,
PoC,small,effecient,high,
PoC,small,effecient,very high,
PoC,small,super effective,low,
PoC,small,super effective,medium,
PoC,small,super effective,high,
PoC,small,super effective,very high,
PoC,controlled,laborious,low,
PoC,controlled,laborious,medium,
PoC,controlled,laborious,high,
PoC,controlled,laborious,very high,
PoC,controlled,effecient,low,
PoC,controlled,effecient,medium,
PoC,controlled,effecient,high,
PoC,controlled,effecient,very high,
PoC,controlled,super effective,low,
PoC,controlled,super effective,medium,
PoC,controlled,super effective,high,
PoC,controlled,super effective,very high,
PoC,open,laborious,low,
PoC,open,laborious,medium,
PoC,open,laborious,high,
PoC,open,laborious,very high,
PoC,open,effecient,low,
PoC,open,effecient,medium,
PoC,open,effecient,high,
PoC,open,effecient,very high,
PoC,open,super effective,low,
PoC,open,super effective,medium,
PoC,open,super effective,high,
PoC,open,super effective,very high,
active,small,laborious,low,
active,small,laborious,medium,
active,small,laborious,high,
active,small,laborious,very high,
active,small,effecient,low,
active,small,effecient,medium,
active,small,effecient,high,
active,small,effecient,very high,
active,small,super effective,low,
active,small,super effective,medium,
active,small,super effective,high,
active,small,super effective,very high,
active,controlled,laborious,low,
active,controlled,laborious,medium,
active,controlled,laborious,high,
active,controlled,laborious,very high,
active,controlled,effecient,low,
active,controlled,effecient,medium,
active,controlled,effecient,high,
active,controlled,effecient,very high,
active,controlled,super effective,low,
active,controlled,super effective,medium,
active,controlled,super effective,high,
active,controlled,super effective,very high,
active,open,laborious,low,
active,open,laborious,medium,
active,open,laborious,high,
active,open,laborious,very high,
active,open,effecient,low,
active,open,effecient,medium,
active,open,effecient,high,
active,open,effecient,very high,
active,open,super effective,low,
active,open,super effective,medium,
active,open,super effective,high,
active,open,super effective,very high,
